model,display_name,span_f1_point,span_f1_mean,std,ci_lower,ci_upper,ci_width
gpt-4-turbo,GPT-4 Turbo,0.7737373737373736,0.773535177174101,0.020012126119770598,0.7325177292552754,0.8115425605291845,0.07902483127390914
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.7689119170984456,0.7688946358376372,0.02187192126369283,0.7246751252841325,0.8104741898678836,0.08579906458375108
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.7622950819672133,0.762108517938565,0.021546891001358277,0.7193390055293252,0.8027068007740197,0.08336779524469451
gpt-4o,GPT-4o,0.7611336032388664,0.7609780971019371,0.021563671920128636,0.71743747697905,0.8017636197605693,0.08432614278151929
gpt-41-mini,GPT-4.1-mini,0.7437185929648242,0.7433824732892188,0.021437697531583602,0.6999002483901297,0.7843609409316842,0.08446069254155453
gpt-35,GPT-3.5,0.7375886524822695,0.7372350788891107,0.02243398119747419,0.6911753462853032,0.779790932386458,0.08861558610115483
gpt-41,GPT-4.1,0.7333333333333333,0.732931730713692,0.02053825047435836,0.6914312155067978,0.7721283413441269,0.08069712583732913
bilstm-crf__supervised,BiLSTM-CRF,0.7257281553398058,0.7253864995787866,0.02381047212789049,0.6778898763273763,0.770574119201363,0.09268424287398669
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.7141444114737882,0.7138020775460803,0.020123112044938416,0.6730427881297445,0.7521555361121272,0.07911274798238266
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.7079889807162535,0.7075130974584006,0.024280267764009936,0.6575333044412203,0.7538866552672115,0.09635335082599128
deepseek-v3_few_shot,DeepSeek-V3,0.6756496631376323,0.6752609641554796,0.022719219697244844,0.6301101811461848,0.7190444531597336,0.08893427201354887
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6541786743515852,0.6537157305450357,0.027818861622173924,0.598557253649635,0.7070422535211268,0.10848499987149185
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6388059701492537,0.6383024827530734,0.026573087658167356,0.5846118721461186,0.6891305664425814,0.10451869429646277
gpt-41-nano,GPT-4.1-nano,0.44939965694682676,0.44896615264514395,0.022984606997826094,0.40319715808170514,0.493528099408126,0.09033094132642083
