| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |     diff_f1 |     ci_lower |    ci_upper |   p_value | significant_95   |
|:---------------------------------------------------|:---------------------------------------------------|:---------------------|:---------------------|---------:|---------:|------------:|-------------:|------------:|----------:|:-----------------|
| gpt-4-turbo                                        | gpt-41-nano                                        | GPT-4 Turbo          | GPT-4.1-nano         | 0.773737 | 0.4494   |  0.324569   |  0.280617    |  0.36938    |    0      | True             |
| gpt-5.4-mini_few_shot                              | gpt-41-nano                                        | GPT-5.4-mini         | GPT-4.1-nano         | 0.768912 | 0.4494   |  0.319928   |  0.274082    |  0.3665     |    0      | True             |
| gpt-5.4-nano_few_shot                              | gpt-41-nano                                        | GPT-5.4-nano         | GPT-4.1-nano         | 0.762295 | 0.4494   |  0.313142   |  0.269583    |  0.357655   |    0      | True             |
| gpt-4o                                             | gpt-41-nano                                        | GPT-4o               | GPT-4.1-nano         | 0.761134 | 0.4494   |  0.312012   |  0.271333    |  0.353584   |    0      | True             |
| gpt-41-mini                                        | gpt-41-nano                                        | GPT-4.1-mini         | GPT-4.1-nano         | 0.743719 | 0.4494   |  0.294416   |  0.249283    |  0.340318   |    0      | True             |
| gpt-35                                             | gpt-41-nano                                        | GPT-3.5              | GPT-4.1-nano         | 0.737589 | 0.4494   |  0.288269   |  0.24374     |  0.332878   |    0      | True             |
| gpt-41                                             | gpt-41-nano                                        | GPT-4.1              | GPT-4.1-nano         | 0.733333 | 0.4494   |  0.283966   |  0.240975    |  0.328994   |    0      | True             |
| bilstm-crf__supervised                             | gpt-41-nano                                        | BiLSTM-CRF           | GPT-4.1-nano         | 0.725728 | 0.4494   |  0.27642    |  0.222731    |  0.330849   |    0      | True             |
| gemini-2.5-flash_few_shot                          | gpt-41-nano                                        | Gemini-2.5-flash     | GPT-4.1-nano         | 0.714144 | 0.4494   |  0.264836   |  0.220067    |  0.31001    |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41-nano                                        | BERTimbau-base       | GPT-4.1-nano         | 0.707989 | 0.4494   |  0.258547   |  0.210377    |  0.307834   |    0      | True             |
| deepseek-v3_few_shot                               | gpt-41-nano                                        | DeepSeek-V3          | GPT-4.1-nano         | 0.67565  | 0.4494   |  0.226295   |  0.181077    |  0.27189    |    0      | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gpt-41-nano                                        | BERTimbau-large      | GPT-4.1-nano         | 0.654179 | 0.4494   |  0.20475    |  0.147581    |  0.260054   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-nano                                        | Legal-BERTimbau-base | GPT-4.1-nano         | 0.638806 | 0.4494   |  0.189336   |  0.134233    |  0.245172   |    0      | True             |
| gpt-4-turbo                                        | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4 Turbo          | Legal-BERTimbau-base | 0.773737 | 0.638806 |  0.135233   |  0.0830711   |  0.188388   |    0      | True             |
| gpt-5.4-mini_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-mini         | Legal-BERTimbau-base | 0.768912 | 0.638806 |  0.130592   |  0.0748681   |  0.185637   |    0      | True             |
| gpt-5.4-nano_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-nano         | Legal-BERTimbau-base | 0.762295 | 0.638806 |  0.123806   |  0.0731385   |  0.175165   |    0      | True             |
| gpt-4o                                             | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4o               | Legal-BERTimbau-base | 0.761134 | 0.638806 |  0.122676   |  0.0711774   |  0.174629   |    0      | True             |
| gpt-4-turbo                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4 Turbo          | BERTimbau-large      | 0.773737 | 0.654179 |  0.119819   |  0.0699529   |  0.169759   |    0      | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-mini         | BERTimbau-large      | 0.768912 | 0.654179 |  0.115179   |  0.0636571   |  0.166527   |    0      | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-nano         | BERTimbau-large      | 0.762295 | 0.654179 |  0.108393   |  0.0603768   |  0.158006   |    0      | True             |
| gpt-4o                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4o               | BERTimbau-large      | 0.761134 | 0.654179 |  0.107262   |  0.0592062   |  0.157382   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-mini                                        | Legal-BERTimbau-base | GPT-4.1-mini         | 0.638806 | 0.743719 | -0.10508    | -0.159458    | -0.0526294  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-35                                             | Legal-BERTimbau-base | GPT-3.5              | 0.638806 | 0.737589 | -0.0989326  | -0.151016    | -0.0467299  |    0      | True             |
| gpt-4-turbo                                        | deepseek-v3_few_shot                               | GPT-4 Turbo          | DeepSeek-V3          | 0.773737 | 0.67565  |  0.0982742  |  0.0615754   |  0.135599   |    0      | True             |
