model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-4-turbo,gpt-41-nano,GPT-4 Turbo,GPT-4.1-nano,0.7341269841269841,0.41722972972972977,0.31730818451877246,0.27495989489772726,0.36080415865055987,0.0,True
gpt-5.4-mini_few_shot,gpt-41-nano,GPT-5.4-mini,GPT-4.1-nano,0.7309644670050761,0.41722972972972977,0.31440661228684025,0.26977776597409514,0.36069491652256613,0.0,True
gpt-5.4-nano_few_shot,gpt-41-nano,GPT-5.4-nano,GPT-4.1-nano,0.7289156626506024,0.41722972972972977,0.31216400849320297,0.2702654163946336,0.3561551665624945,0.0,True
gpt-4o,gpt-41-nano,GPT-4o,GPT-4.1-nano,0.723658051689861,0.41722972972972977,0.30693123006494405,0.2679453943853478,0.34765618411789,0.0,True
gpt-41-mini,gpt-41-nano,GPT-4.1-mini,GPT-4.1-nano,0.7107601184600196,0.41722972972972977,0.29386762502982655,0.2522521634367311,0.3378718886511389,0.0,True
gpt-35,gpt-41-nano,GPT-3.5,GPT-4.1-nano,0.7104477611940297,0.41722972972972977,0.29355632333549503,0.25167365666283426,0.336746758035249,0.0,True
gpt-41,gpt-41-nano,GPT-4.1,GPT-4.1-nano,0.7052023121387283,0.41722972972972977,0.28821491948935474,0.24596568094736695,0.3316384843752151,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,gpt-41-nano,BERTimbau-base,GPT-4.1-nano,0.6895604395604397,0.41722972972972977,0.27211520763892777,0.225003410299341,0.3186161637932382,0.0,True
gemini-2.5-flash_few_shot,gpt-41-nano,Gemini-2.5-flash,GPT-4.1-nano,0.6867119301648884,0.41722972972972977,0.2697173503526857,0.22497966937312694,0.31446759917091927,0.0,True
deepseek-v3_few_shot,gpt-41-nano,DeepSeek-V3,GPT-4.1-nano,0.6458923512747876,0.41722972972972977,0.22883102506896386,0.1857951986427936,0.2733759140001199,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-nano,Legal-BERTimbau-base,GPT-4.1-nano,0.605143721633888,0.41722972972972977,0.18745962961246868,0.1344261936546481,0.23918376318696843,0.0,True
neuralmind_bert-large-portuguese-cased__supervised,gpt-41-nano,BERTimbau-large,GPT-4.1-nano,0.6048632218844985,0.41722972972972977,0.1870886332133279,0.12972413911916106,0.241952031320768,0.0,True
bilstm-crf__supervised,gpt-41-nano,BiLSTM-CRF,GPT-4.1-nano,0.5925925925925926,0.41722972972972977,0.1753704860152715,0.11217159435853867,0.23860526247060607,0.0,True
gpt-4-turbo,bilstm-crf__supervised,GPT-4 Turbo,BiLSTM-CRF,0.7341269841269841,0.5925925925925926,0.14193769850350096,0.08010950134935685,0.20321950059614077,0.0,True
gpt-5.4-mini_few_shot,bilstm-crf__supervised,GPT-5.4-mini,BiLSTM-CRF,0.7309644670050761,0.5925925925925926,0.13903612627156878,0.07312312939960375,0.20435017837990305,0.0,True
gpt-5.4-nano_few_shot,bilstm-crf__supervised,GPT-5.4-nano,BiLSTM-CRF,0.7289156626506024,0.5925925925925926,0.13679352247793153,0.07341594813614716,0.1991054231318794,0.0,True
gpt-4o,bilstm-crf__supervised,GPT-4o,BiLSTM-CRF,0.723658051689861,0.5925925925925926,0.13156074404967252,0.06890455642456023,0.19325570671721556,0.0,True
gpt-4-turbo,neuralmind_bert-large-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-large,0.7341269841269841,0.6048632218844985,0.13021955130544455,0.07458439267093776,0.1887678797615941,0.0,True
gpt-4-turbo,rufimelo_Legal-BERTimbau-base__supervised,GPT-4 Turbo,Legal-BERTimbau-base,0.7341269841269841,0.605143721633888,0.12984855490630376,0.07766872526106498,0.18413768634977895,0.0,True
gpt-5.4-mini_few_shot,neuralmind_bert-large-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-large,0.7309644670050761,0.6048632218844985,0.1273179790735124,0.06691396440994511,0.189593493204885,0.0,True
gpt-5.4-mini_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-mini,Legal-BERTimbau-base,0.7309644670050761,0.605143721633888,0.1269469826743716,0.07371667351719086,0.18099221994618453,0.0,True
gpt-5.4-nano_few_shot,neuralmind_bert-large-portuguese-cased__supervised,GPT-5.4-nano,BERTimbau-large,0.7289156626506024,0.6048632218844985,0.1250753752798751,0.07193589494274696,0.18136754642158026,0.0,True
gpt-5.4-nano_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-nano,Legal-BERTimbau-base,0.7289156626506024,0.605143721633888,0.12470437888073431,0.07567442813739093,0.17603901571440084,0.0,True
gpt-4o,neuralmind_bert-large-portuguese-cased__supervised,GPT-4o,BERTimbau-large,0.723658051689861,0.6048632218844985,0.11984259685161615,0.06561710395487745,0.17646099966231282,0.0,True
gpt-4o,rufimelo_Legal-BERTimbau-base__supervised,GPT-4o,Legal-BERTimbau-base,0.723658051689861,0.605143721633888,0.11947160045247536,0.06761408812359485,0.17449911410039218,0.0,True
gpt-41-mini,bilstm-crf__supervised,GPT-4.1-mini,BiLSTM-CRF,0.7107601184600196,0.5925925925925926,0.11849713901455507,0.05924022112025976,0.1781346536496871,0.0,True
gpt-35,bilstm-crf__supervised,GPT-3.5,BiLSTM-CRF,0.7104477611940297,0.5925925925925926,0.11818583732022354,0.05408686053886791,0.1811109310792656,0.0,True
gpt-41,bilstm-crf__supervised,GPT-4.1,BiLSTM-CRF,0.7052023121387283,0.5925925925925926,0.11284443347408328,0.049190570764392955,0.17543631016962888,0.0004,True
gpt-41-mini,neuralmind_bert-large-portuguese-cased__supervised,GPT-4.1-mini,BERTimbau-large,0.7107601184600196,0.6048632218844985,0.10677899181649866,0.05576546090717393,0.16147590713995605,0.0,True
gpt-35,neuralmind_bert-large-portuguese-cased__supervised,GPT-3.5,BERTimbau-large,0.7104477611940297,0.6048632218844985,0.10646769012216717,0.051338229620616314,0.16358404985966515,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-mini,Legal-BERTimbau-base,GPT-4.1-mini,0.605143721633888,0.7107601184600196,-0.10640799541735788,-0.1582354962622008,-0.05666736902840287,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-35,Legal-BERTimbau-base,GPT-3.5,0.605143721633888,0.7104477611940297,-0.10609669372302638,-0.15972119956103623,-0.05411447751014277,0.0,True
gpt-41,neuralmind_bert-large-portuguese-cased__supervised,GPT-4.1,BERTimbau-large,0.7052023121387283,0.6048632218844985,0.10112628627602688,0.04451148485675466,0.1603583064890206,0.0004,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41,Legal-BERTimbau-base,GPT-4.1,0.605143721633888,0.7052023121387283,-0.10075528987688609,-0.1559069408087917,-0.04801545924388127,0.0002,True
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.6895604395604397,0.5925925925925926,0.09674472162365633,0.04213514440436824,0.15363008829755434,0.0004,True
gemini-2.5-flash_few_shot,bilstm-crf__supervised,Gemini-2.5-flash,BiLSTM-CRF,0.6867119301648884,0.5925925925925926,0.09434686433741422,0.030742148047430376,0.15796966986767003,0.0032,True
gpt-4-turbo,deepseek-v3_few_shot,GPT-4 Turbo,DeepSeek-V3,0.7341269841269841,0.6458923512747876,0.08847715944980857,0.05331550780897733,0.12395252318286397,0.0,True
gpt-5.4-mini_few_shot,deepseek-v3_few_shot,GPT-5.4-mini,DeepSeek-V3,0.7309644670050761,0.6458923512747876,0.08557558721787639,0.041564973680530075,0.12890739118191916,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-base,BERTimbau-large,0.6895604395604397,0.6048632218844985,0.08502657442559991,0.043788764292322625,0.12979267590437266,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-base-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-base,0.605143721633888,0.6895604395604397,-0.08465557802645914,-0.12622542612624543,-0.0449748882056755,0.0,True
gpt-5.4-nano_few_shot,deepseek-v3_few_shot,GPT-5.4-nano,DeepSeek-V3,0.7289156626506024,0.6458923512747876,0.08333298342423912,0.04496896244022305,0.12161981979524952,0.0,True
neuralmind_bert-large-portuguese-cased__supervised,gemini-2.5-flash_few_shot,BERTimbau-large,Gemini-2.5-flash,0.6048632218844985,0.6867119301648884,-0.08262871713935781,-0.1431178824778086,-0.026435688968707405,0.0038,True
rufimelo_Legal-BERTimbau-base__supervised,gemini-2.5-flash_few_shot,Legal-BERTimbau-base,Gemini-2.5-flash,0.605143721633888,0.6867119301648884,-0.08225772074021703,-0.13762709825959096,-0.030321040387944382,0.0022,True
gpt-4o,deepseek-v3_few_shot,GPT-4o,DeepSeek-V3,0.723658051689861,0.6458923512747876,0.07810020499598015,0.0421193510058986,0.11463115452651657,0.0,True
gpt-41-mini,deepseek-v3_few_shot,GPT-4.1-mini,DeepSeek-V3,0.7107601184600196,0.6458923512747876,0.0650365999608627,0.03208140841392009,0.09755863411918893,0.0006,True
gpt-35,deepseek-v3_few_shot,GPT-3.5,DeepSeek-V3,0.7104477611940297,0.6458923512747876,0.06472529826653119,0.02439203418373367,0.10499394633931904,0.0026,True
gpt-41,deepseek-v3_few_shot,GPT-4.1,DeepSeek-V3,0.7052023121387283,0.6458923512747876,0.0593838944203909,0.023125822224483304,0.09552979129994826,0.0014,True
deepseek-v3_few_shot,bilstm-crf__supervised,DeepSeek-V3,BiLSTM-CRF,0.6458923512747876,0.5925925925925926,0.05346053905369239,-0.008254404985444993,0.11430670525382426,0.0876,False
gpt-4-turbo,gemini-2.5-flash_few_shot,GPT-4 Turbo,Gemini-2.5-flash,0.7341269841269841,0.6867119301648884,0.04759083416608673,0.017906162692078665,0.07676468536674805,0.0028,True
gpt-4-turbo,neuralmind_bert-base-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-base,0.7341269841269841,0.6895604395604397,0.04519297687984463,-0.0019446276829265502,0.09366960041014682,0.0586,False
gpt-5.4-mini_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-mini,Gemini-2.5-flash,0.7309644670050761,0.6867119301648884,0.04468926193415457,0.0036969524354982476,0.08360389077515407,0.0332,True
neuralmind_bert-base-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-base,DeepSeek-V3,0.6895604395604397,0.6458923512747876,0.043284182569963935,-0.0062615542034042005,0.0914017824376013,0.086,False
gpt-5.4-nano_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-nano,Gemini-2.5-flash,0.7289156626506024,0.6867119301648884,0.042446658140517284,0.008700909184733279,0.07443735976652589,0.0154,True
gpt-5.4-mini_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-base,0.7309644670050761,0.6895604395604397,0.042291404647912464,-0.005707697669903199,0.09140280467729342,0.0872,False
neuralmind_bert-large-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-large,DeepSeek-V3,0.6048632218844985,0.6458923512747876,-0.041742391855635975,-0.09999654157469963,0.013900044632781113,0.1452,False
rufimelo_Legal-BERTimbau-base__supervised,deepseek-v3_few_shot,Legal-BERTimbau-base,DeepSeek-V3,0.605143721633888,0.6458923512747876,-0.041371395456495194,-0.09535775565499272,0.010949321427228032,0.1254,False
gemini-2.5-flash_few_shot,deepseek-v3_few_shot,Gemini-2.5-flash,DeepSeek-V3,0.6867119301648884,0.6458923512747876,0.040886325283721825,0.005258698189707136,0.07710315990922983,0.0218,True
