model,display_name,span_f1_point,span_f1_mean,std,ci_lower,ci_upper,ci_width
gpt-4-turbo,GPT-4 Turbo,0.7619047619047619,0.7619384805304437,0.02128034127518169,0.7180527383367141,0.8021786605970059,0.08412592226029181
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.7614213197969544,0.761664190864835,0.022810441789445957,0.7156480764782293,0.8043969283728319,0.08874885189460269
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.7550200803212852,0.7550849217421923,0.02214330619476662,0.7105782166075373,0.7974337426394282,0.08685552603189095
gpt-4o,GPT-4o,0.7514910536779325,0.7515951979415909,0.023013636701065404,0.706001983723296,0.7947890847035312,0.08878710098023512
gpt-41-mini,GPT-4.1-mini,0.7344521224086871,0.7343754401893903,0.022471273580117194,0.6893935598469667,0.7776537512976375,0.08826019145067077
gpt-35,GPT-3.5,0.7323383084577115,0.732256127929343,0.02351464861911673,0.6851278625954198,0.7774231178831819,0.09229525528776206
gpt-41,GPT-4.1,0.7263969171483623,0.7262197834015608,0.021251499504367707,0.6837769205063483,0.7667014979048371,0.0829245773984888
bilstm-crf__supervised,BiLSTM-CRF,0.7257281553398058,0.7253864995787866,0.02381047212789049,0.6778898763273763,0.770574119201363,0.09268424287398669
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.7099903006789526,0.7098713425440472,0.02086648448726507,0.667920715098075,0.7497427388278008,0.0818220237297258
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.7079889807162535,0.7075130974584006,0.024280267764009936,0.6575333044412203,0.7538866552672115,0.09635335082599128
deepseek-v3_few_shot,DeepSeek-V3,0.6704438149197356,0.6702491081986868,0.0232148646601274,0.6243868496339039,0.7141482651428114,0.08976141550890748
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6541786743515852,0.6537157305450357,0.027818861622173924,0.598557253649635,0.7070422535211268,0.10848499987149185
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6388059701492537,0.6383024827530734,0.026573087658167356,0.5846118721461186,0.6891305664425814,0.10451869429646277
gpt-41-nano,GPT-4.1-nano,0.44087837837837834,0.4405348535463188,0.023235133783667924,0.3945701357466064,0.485539254178213,0.0909691184316066
