model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-4-turbo,gpt-41-nano,GPT-4 Turbo,GPT-4.1-nano,0.7619047619047619,0.44087837837837834,0.3214036269841247,0.2770386653881321,0.36594414420865706,0.0,True
gpt-5.4-mini_few_shot,gpt-41-nano,GPT-5.4-mini,GPT-4.1-nano,0.7614213197969544,0.44087837837837834,0.32112933731851606,0.2754653136105661,0.3671921717919443,0.0,True
gpt-5.4-nano_few_shot,gpt-41-nano,GPT-5.4-nano,GPT-4.1-nano,0.7550200803212852,0.44087837837837834,0.3145500681958735,0.27135744135443063,0.3581585673667978,0.0,True
gpt-4o,gpt-41-nano,GPT-4o,GPT-4.1-nano,0.7514910536779325,0.44087837837837834,0.311060344395272,0.2707185181701372,0.3526879363685324,0.0,True
gpt-41-mini,gpt-41-nano,GPT-4.1-mini,GPT-4.1-nano,0.7344521224086871,0.44087837837837834,0.29384058664307133,0.24907590851740333,0.3397800944968947,0.0,True
gpt-35,gpt-41-nano,GPT-3.5,GPT-4.1-nano,0.7323383084577115,0.44087837837837834,0.29172127438302425,0.24710690108213937,0.33665025456367964,0.0,True
gpt-41,gpt-41-nano,GPT-4.1,GPT-4.1-nano,0.7263969171483623,0.44087837837837834,0.28568492985524185,0.24300269991928455,0.3302234460628652,0.0,True
bilstm-crf__supervised,gpt-41-nano,BiLSTM-CRF,GPT-4.1-nano,0.7257281553398058,0.44087837837837834,0.28485164603246776,0.23057594180313873,0.33974720559773197,0.0,True
gemini-2.5-flash_few_shot,gpt-41-nano,Gemini-2.5-flash,GPT-4.1-nano,0.7099903006789526,0.44087837837837834,0.26933648899772833,0.22472738190528274,0.3143254666082377,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,gpt-41-nano,BERTimbau-base,GPT-4.1-nano,0.7079889807162535,0.44087837837837834,0.2669782439120817,0.21815721998301663,0.31612141124464926,0.0,True
deepseek-v3_few_shot,gpt-41-nano,DeepSeek-V3,GPT-4.1-nano,0.6704438149197356,0.44087837837837834,0.22971425465236783,0.1859096443721356,0.2751234098178213,0.0,True
neuralmind_bert-large-portuguese-cased__supervised,gpt-41-nano,BERTimbau-large,GPT-4.1-nano,0.6541786743515852,0.44087837837837834,0.21318087699871685,0.15592154019650137,0.26979299914579047,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-nano,Legal-BERTimbau-base,GPT-4.1-nano,0.6388059701492537,0.44087837837837834,0.19776762920675456,0.14168954180566,0.25387576546069696,0.0,True
gpt-4-turbo,rufimelo_Legal-BERTimbau-base__supervised,GPT-4 Turbo,Legal-BERTimbau-base,0.7619047619047619,0.6388059701492537,0.12363599777737018,0.06846691079096935,0.17850344481610744,0.0,True
gpt-5.4-mini_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-mini,Legal-BERTimbau-base,0.7614213197969544,0.6388059701492537,0.12336170811176148,0.06707260389317792,0.1798390352486671,0.0,True
gpt-5.4-nano_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-nano,Legal-BERTimbau-base,0.7550200803212852,0.6388059701492537,0.11678243898911897,0.0653643129910397,0.16918190593648708,0.0,True
gpt-4o,rufimelo_Legal-BERTimbau-base__supervised,GPT-4o,Legal-BERTimbau-base,0.7514910536779325,0.6388059701492537,0.11329271518851747,0.05937363250597137,0.16825677192875163,0.0,True
gpt-4-turbo,neuralmind_bert-large-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-large,0.7619047619047619,0.6541786743515852,0.10822274998540783,0.05672998038391571,0.16024651182145302,0.0,True
gpt-5.4-mini_few_shot,neuralmind_bert-large-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-large,0.7614213197969544,0.6541786743515852,0.10794846031979914,0.056208289686975166,0.1606575389404816,0.0,True
gpt-5.4-nano_few_shot,neuralmind_bert-large-portuguese-cased__supervised,GPT-5.4-nano,BERTimbau-large,0.7550200803212852,0.6541786743515852,0.10136919119715662,0.05113176865158881,0.15212908821630228,0.0,True
gpt-4o,neuralmind_bert-large-portuguese-cased__supervised,GPT-4o,BERTimbau-large,0.7514910536779325,0.6541786743515852,0.09787946739655513,0.04723728952540828,0.14999830905925715,0.0002,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-mini,Legal-BERTimbau-base,GPT-4.1-mini,0.6388059701492537,0.7344521224086871,-0.09607295743631672,-0.1508746417488215,-0.04179453905686294,0.0004,True
