model,technique,token_f1,token_precision,token_recall,span_f1,span_precision,span_recall
deepseek-v3,cot,0.6016746411483254,0.6758550488599349,0.5421674941207212,0.512273212379936,0.502092050209205,0.5228758169934641
deepseek-v3,dynamic_few_shot,0.6789044101042037,0.670660972656001,0.6873530180297883,0.5372881355932203,0.43966712898751736,0.690631808278867
deepseek-v3,few_shot,0.7422330016994175,0.7499416530523789,0.7346812124379409,0.6458923512747876,0.57,0.7450980392156863
deepseek-v3,two_stage,0.7677630827938227,0.7666503826738317,0.7688790175071858,0.6717850287907869,0.6003430531732419,0.7625272331154684
gemini-2.5-flash,cot,0.7751682236885086,0.775218868417614,0.7751175855761693,0.711764705882353,0.6470588235294118,0.7908496732026143
gemini-2.5-flash,dynamic_few_shot,0.7799064813612158,0.7753744834710744,0.7844917690096681,0.6879227053140097,0.6180555555555556,0.775599128540305
gemini-2.5-flash,few_shot,0.761446326228347,0.7507619047619047,0.7724392474523125,0.6867119301648884,0.6188811188811189,0.7712418300653595
gemini-2.5-flash,two_stage,0.7740383072925021,0.7605447323623984,0.7880193362947479,0.7025440313111546,0.6376554174067496,0.7821350762527233
gpt-5.4-mini,cot,0.7927555936015577,0.8154069265564035,0.7713287170107134,0.707193515704154,0.6609848484848485,0.7603485838779956
gpt-5.4-mini,dynamic_few_shot,0.753151659586226,0.7990472700622939,0.7122419649856284,0.6546184738955824,0.6070763500931099,0.710239651416122
gpt-5.4-mini,few_shot,0.7931040276914287,0.8166937744402533,0.7708387771100078,0.7269035532994924,0.6806083650190115,0.7799564270152506
gpt-5.4-mini,two_stage,0.7452459586302799,0.7964999628446162,0.7001894434282728,0.6555671175858481,0.6274900398406374,0.6862745098039216
gpt-5.4-nano,cot,0.7996283155938503,0.8282004619584238,0.772961850013065,0.7332646755921729,0.6953125,0.775599128540305
gpt-5.4-nano,dynamic_few_shot,0.7417156368441183,0.7929150249052115,0.6967272014632871,0.6687116564417178,0.630057803468208,0.7124183006535948
gpt-5.4-nano,few_shot,0.7876161408360454,0.8140969777251019,0.7628037627384374,0.7228915662650601,0.6703910614525139,0.7843137254901961
gpt-5.4-nano,two_stage,0.7607338624613097,0.8082674995406944,0.718480533054612,0.6914344685242518,0.6568627450980392,0.7298474945533769
