model,display,span_f1_point,span_f1_micro,span_f1_mean,span_f1_std,ci_lower,ci_upper,ci_width
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.730624323478386,0.7526652452025585,0.7303180743864168,0.023788712202831498,0.6832012007647862,0.7764957208842899,0.09329452011950368
gpt-4.1_few_shot,GPT-4.1,0.7061870978386404,0.7215686274509804,0.7059227087276498,0.02280031617843211,0.6614164628140098,0.7503528030050325,0.0889363401910227
gpt-5.1_few_shot,GPT-5.1,0.67451227903038,0.6846673095467696,0.6740786896216061,0.022684959841217257,0.6283563022157751,0.7183955920912339,0.09003928987545884
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.6742928296141675,0.6851338873499538,0.67404048418493,0.022576639041776335,0.6286172359088705,0.7178953921158325,0.089278156206962
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,0.6370258846842255,0.7002583979328164,0.6360965154316996,0.029216987735020034,0.5782324528223077,0.6915956419479921,0.11336318912568433
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,0.6224052689453057,0.6843501326259948,0.6217462448651186,0.02946739561507157,0.5640983080096764,0.6788883954108622,0.11479008740118579
gpt-5.2_few_shot,GPT-5.2,0.5852152841061593,0.6067415730337079,0.5853266359145982,0.025890764775323562,0.53394504573848,0.6348269405556227,0.10088189481714271
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.5800917600159408,0.6785714285714286,0.5788464599739838,0.030908921198617326,0.518416976039833,0.6384830789743624,0.12006610293452935
qwen2.5-72b_few_shot,Qwen2.5-72B,0.5778258331756476,0.6134615384615385,0.577509069901966,0.023140646735361595,0.5323058616160138,0.6222729542963741,0.0899670926803603
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,0.5678204995955684,0.6390374331550803,0.5672883128295747,0.030121923378257164,0.5078142941493875,0.6262157113228262,0.11840141717343866
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,0.5350548485754807,0.6545924967658474,0.5349399140105172,0.02928134522581488,0.47791587209662834,0.5933003345216358,0.11538446242500744
gpt-5-mini_few_shot,GPT-5-mini,0.5241862525134205,0.40970654627539504,0.524115956451298,0.02293851459785441,0.47760763122366773,0.567710041394728,0.0901024101710603
bilstm-crf__supervised,BiLSTM-CRF,0.5004267892296832,0.5925925925925926,0.4998348595812965,0.03220166447979297,0.43782582029503486,0.5640388665322559,0.12621304623722102
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.47779252952022405,0.6018237082066868,0.4768115590530062,0.031156748360014072,0.41587568972166145,0.5377745559627681,0.12189886624110668
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,0.4244517918899403,0.5433715220949263,0.4238366452672395,0.02692397422383013,0.37014207756721185,0.47574384634764766,0.10560176878043581
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.4058135593605903,0.6021180030257186,0.4049066179052443,0.027781578967164627,0.352382182051278,0.46079032894942745,0.10840814689814943
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.3942714478112034,0.43252595155709345,0.3948028129668996,0.02534226349948997,0.3448083621621893,0.44494053011647516,0.10013216795428587
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,0.3412289167101374,0.4945226917057903,0.3396857394215623,0.02961911795963431,0.28302504947921836,0.40009775464031216,0.1170727051610938
llama-3.3-70b_few_shot,Llama-3.3-70B,0.2734420698696083,0.3395638629283489,0.2732968447216858,0.027330835076729343,0.22050724482835843,0.3275594819919583,0.10705223716359985
