model,display,n_docs_full,n_docs_informative,span_f1_full,span_f1_informative,delta_span_f1,span_precision_full,span_precision_informative,delta_span_precision,span_recall_full,span_recall_informative
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,861,232,0.7526652452025585,0.7959413754227734,0.043276130220214926,0.7369519832985386,0.8247663551401869,0.08781437184164831,0.7690631808278867,0.7690631808278867
gpt-4.1_few_shot,GPT-4.1,861,232,0.7215686274509804,0.7813163481953289,0.05974772074434853,0.6559714795008913,0.7619047619047619,0.10593328240387057,0.8017429193899782,0.8017429193899782
gpt-4.1-mini_few_shot,GPT-4.1-mini,861,232,0.6851338873499538,0.7579162410623085,0.07278235371235464,0.594551282051282,0.7134615384615385,0.11891025641025643,0.8082788671023965,0.8082788671023965
gpt-5.1_few_shot,GPT-5.1,861,232,0.6846673095467696,0.7497360084477296,0.06506869890096001,0.6141868512110726,0.7274590163934426,0.11327216518236993,0.7734204793028322,0.7734204793028322
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,861,232,0.6785714285714286,0.6889818688981869,0.010410440326758308,0.7993527508090615,0.8288590604026845,0.029506309593622992,0.5894988066825776,0.5894988066825776
gpt-5.2_few_shot,GPT-5.2,861,232,0.6067415730337079,0.6828793774319066,0.07613780439819873,0.502865329512894,0.616871704745167,0.11400637523227297,0.7647058823529411,0.7647058823529411
qwen2.5-72b_few_shot,Qwen2.5-72B,861,232,0.6134615384615385,0.6708727655099894,0.05741122704845092,0.5490533562822719,0.6483739837398373,0.09932062745756542,0.6949891067538126,0.6949891067538126
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,861,232,0.6021180030257186,0.6123076923076923,0.010189689281973724,0.8223140495867769,0.8614718614718615,0.039157811885084604,0.47494033412887826,0.47494033412887826
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,861,232,0.6018237082066868,0.611111111111111,0.009287402904424202,0.8284518828451883,0.8646288209606987,0.03617693811551037,0.47255369928400953,0.47255369928400953
bilstm-crf__supervised,BiLSTM-CRF,861,232,0.5925925925925926,0.6075949367088608,0.015002344116268218,0.7741935483870968,0.8275862068965517,0.05339265850945496,0.48,0.48
gpt-5-mini_few_shot,GPT-5-mini,861,232,0.40970654627539504,0.5941080196399344,0.18440147336453938,0.27646610814927647,0.47575360419397117,0.1992874960446947,0.7908496732026143,0.7908496732026143
gpt-4.1-nano_few_shot,GPT-4.1-nano,861,232,0.43252595155709345,0.484027105517909,0.05150115396081556,0.3586800573888092,0.4355400696864111,0.07686001229760192,0.5446623093681917,0.5446623093681917
llama-3.3-70b_few_shot,Llama-3.3-70B,861,232,0.3395638629283489,0.34991974317817015,0.010355880249821259,0.5956284153005464,0.6646341463414634,0.069005731040917,0.2374727668845316,0.2374727668845316
