word,log_odds_z,corpus
pelo,36.09683842513916,decicontas
nos,35.27737016042961,decicontas
do,34.54665372543568,decicontas
contas,32.78894502009275,decicontas
termos,32.645397715282066,decicontas
voto,30.957642808189732,decicontas
julgar,28.644547829028358,decicontas
autos,28.414292002610107,decicontas
relator,24.970842403323896,decicontas
complementar,24.480182977354044,decicontas
ministerio,24.060624350335207,decicontas
estes,22.611971650122637,decicontas
vistos,22.2618761739678,decicontas
desta,22.071719845250637,decicontas
publico,22.039218689680077,decicontas
acordam,22.03529058451072,decicontas
com,21.946213634499962,decicontas
estadual,21.823736184593702,decicontas
discutidos,21.763842587782843,decicontas
relatados,21.711592016948913,decicontas
corte,21.62004963048733,decicontas
proferido,21.474651698527683,decicontas
inciso,20.997389664200135,decicontas
no,20.600122250496952,decicontas
corpo,19.661670142320997,decicontas
que,-26.005500415902514,lener_br
nao,-22.01434700915907,lener_br
ou,-15.134517234490568,lener_br
se,-13.69883060394015,lener_br
como,-12.250804394444149,lener_br
de,-11.239779988329325,lener_br
as,-11.233804311582812,lener_br
ser,-10.972551296313314,lener_br
foi,-10.893125181551788,lener_br
justica,-10.540334717117915,lener_br
federal,-9.764919148158455,lener_br
agravo,-9.722230188014914,lener_br
acao,-9.613865614036648,lener_br
na,-8.699381030552459,lener_br
qual,-8.586705761338832,lener_br
militar,-8.532155011120505,lener_br
fls,-8.439578553323877,lener_br
inconstitucionalidade,-8.260171465198523,lener_br
superior,-8.1828726220345,lener_br
defesa,-8.064462398354479,lener_br
quando,-7.939992182931882,lener_br
codigo,-7.863296902659662,lener_br
penal,-7.852875893368401,lener_br
sobre,-7.49221309748269,lener_br
recorrente,-7.443779098876804,lener_br
