pair,label,span_f1,kappa_doc_presence,n_spans_a,n_spans_b
anotador1 x anotador2,MULTA,0.835214446952596,0.9409008866839599,212,231
anotador1 x anotador2,OBRIGACAO,0.7791164658634537,0.8579331710555432,131,118
anotador1 x anotador2,RESSARCIMENTO,0.7540983606557377,0.8793658250146804,63,59
anotador1 x anotador2,RECOMENDACAO,0.48837209302325585,0.39610056439199653,53,33
anotador1 x anotador3,MULTA,0.8999999999999999,0.935770454409028,212,208
anotador1 x anotador3,OBRIGACAO,0.7109375,0.8859403052064633,131,125
anotador1 x anotador3,RESSARCIMENTO,0.7611940298507462,0.9325680846275036,63,71
anotador1 x anotador3,RECOMENDACAO,0.4938271604938272,0.40076492282475085,53,28
anotador2 x anotador3,MULTA,0.8838268792710706,0.9531700718164999,231,208
anotador2 x anotador3,OBRIGACAO,0.8230452674897119,0.9124075640570849,118,125
anotador2 x anotador3,RESSARCIMENTO,0.7230769230769231,0.9070418456489217,59,71
anotador2 x anotador3,RECOMENDACAO,0.819672131147541,0.7777567975830819,33,28
