model,technique,token_f1,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v4-flash,cot,0.8295863131692284,0.7155425219941349,0.6806278704124209,0.6288659793814433,0.8299319727891157
deepseek-v4-flash,few_shot,0.8335160596093718,0.7695652173913043,0.7423222420016692,0.7390396659707724,0.8027210884353742
deepseek-v4-flash,two_stage,0.8322383187104673,0.7692307692307693,0.7333622953351868,0.7365145228215768,0.8049886621315193
gpt-4.1,cot,0.8128152797566329,0.7363184079601991,0.7181698744198745,0.6560283687943262,0.8390022675736961
gpt-4.1,few_shot,0.8166536964980545,0.7365269461077845,0.7170071078425144,0.6577540106951871,0.8367346938775511
gpt-4.1,two_stage,0.8204189704851647,0.7449799196787149,0.7252872758246476,0.6684684684684684,0.8412698412698413
gpt-5.2,cot,0.7936631317898322,0.6908431550317317,0.7038207471587496,0.5755287009063444,0.8639455782312925
gpt-5.2,few_shot,0.751539585375326,0.6198419666374012,0.594546639039342,0.505730659025788,0.800453514739229
gpt-5.2,two_stage,0.7830113485406308,0.6685446009389671,0.6381011250696768,0.5705128205128205,0.8072562358276644
llama-3.3-70b,cot,0.3056922224756443,0.2642857142857143,0.19971895409426355,0.6218487394957983,0.16780045351473924
llama-3.3-70b,few_shot,0.4090397488300456,0.3557692307692307,0.2856083731083731,0.6065573770491803,0.25170068027210885
llama-3.3-70b,two_stage,0.16964188329394655,0.13147410358565736,0.11539712875116603,0.5409836065573771,0.07482993197278912
qwen2.5-72b,cot,0.7533816095094958,0.6474543707973103,0.6021585079296372,0.5616666666666666,0.764172335600907
qwen2.5-72b,few_shot,0.717708291946442,0.62426614481409,0.5852652187237197,0.5490533562822719,0.7233560090702947
qwen2.5-72b,two_stage,0.7419108485067728,0.6393606393606394,0.5874131388532371,0.5714285714285714,0.7256235827664399
