| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |    ci_upper |   p_value | significant_95   |
|:---------------------------------------------------|:---------------------------------------------------|:---------------------|:---------------------|---------:|---------:|-------------:|------------:|------------:|----------:|:-----------------|
| deepseek-v4-flash_few_shot                         | llama-3.3-70b_few_shot                             | DeepSeek-V4-Flash    | Llama-3.3-70B        | 0.752665 | 0.339564 |  0.413116    |  0.350634   |  0.475429   |    0      | True             |
| gpt-4.1_few_shot                                   | llama-3.3-70b_few_shot                             | GPT-4.1              | Llama-3.3-70B        | 0.721569 | 0.339564 |  0.382206    |  0.316213   |  0.44653    |    0      | True             |
| llama-3.3-70b_few_shot                             | neuralmind_bert-base-portuguese-cased__supervised  | Llama-3.3-70B        | BERTimbau-base       | 0.339564 | 0.68956  | -0.34948     | -0.415443   | -0.282835   |    0      | True             |
| gpt-4.1-mini_few_shot                              | llama-3.3-70b_few_shot                             | GPT-4.1-mini         | Llama-3.3-70B        | 0.685134 | 0.339564 |  0.345585    |  0.279038   |  0.410803   |    0      | True             |
| gpt-5.1_few_shot                                   | llama-3.3-70b_few_shot                             | GPT-5.1              | Llama-3.3-70B        | 0.684667 | 0.339564 |  0.344973    |  0.277166   |  0.410095   |    0      | True             |
| gpt-5-mini_few_shot                                | deepseek-v4-flash_few_shot                         | GPT-5-mini           | DeepSeek-V4-Flash    | 0.410835 | 0.752665 | -0.34229     | -0.388011   | -0.299358   |    0      | True             |
| gpt-4.1-nano_few_shot                              | deepseek-v4-flash_few_shot                         | GPT-4.1-nano         | DeepSeek-V4-Flash    | 0.430796 | 0.752665 | -0.321986    | -0.372917   | -0.268768   |    0      | True             |
| gpt-4.1_few_shot                                   | gpt-5-mini_few_shot                                | GPT-4.1              | GPT-5-mini           | 0.721569 | 0.410835 |  0.311379    |  0.268121   |  0.355651   |    0      | True             |
| gpt-4.1_few_shot                                   | gpt-4.1-nano_few_shot                              | GPT-4.1              | GPT-4.1-nano         | 0.721569 | 0.430796 |  0.291075    |  0.242099   |  0.337644   |    0      | True             |
| gpt-5-mini_few_shot                                | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5-mini           | BERTimbau-base       | 0.410835 | 0.68956  | -0.278653    | -0.332902   | -0.224764   |    0      | True             |
| llama-3.3-70b_few_shot                             | qwen2.5-72b_few_shot                               | Llama-3.3-70B        | Qwen2.5-72B          | 0.339564 | 0.615385 | -0.275923    | -0.342917   | -0.20739    |    0      | True             |
| gpt-4.1-mini_few_shot                              | gpt-5-mini_few_shot                                | GPT-4.1-mini         | GPT-5-mini           | 0.685134 | 0.410835 |  0.274759    |  0.235836   |  0.314547   |    0      | True             |
| gpt-5-mini_few_shot                                | gpt-5.1_few_shot                                   | GPT-5-mini           | GPT-5.1              | 0.410835 | 0.684667 | -0.274147    | -0.31701    | -0.232514   |    0      | True             |
| gpt-5.2_few_shot                                   | llama-3.3-70b_few_shot                             | GPT-5.2              | Llama-3.3-70B        | 0.606742 | 0.339564 |  0.267056    |  0.196946   |  0.336074   |    0      | True             |
| llama-3.3-70b_few_shot                             | rufimelo_Legal-BERTimbau-base__supervised          | Llama-3.3-70B        | Legal-BERTimbau-base | 0.339564 | 0.605144 | -0.264824    | -0.331059   | -0.19745    |    0      | True             |
| llama-3.3-70b_few_shot                             | neuralmind_bert-large-portuguese-cased__supervised | Llama-3.3-70B        | BERTimbau-large      | 0.339564 | 0.604863 | -0.264453    | -0.331971   | -0.194563   |    0      | True             |
| gpt-4.1-nano_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-nano         | BERTimbau-base       | 0.430796 | 0.68956  | -0.258349    | -0.311731   | -0.204421   |    0      | True             |
| gpt-4.1-mini_few_shot                              | gpt-4.1-nano_few_shot                              | GPT-4.1-mini         | GPT-4.1-nano         | 0.685134 | 0.430796 |  0.254454    |  0.205824   |  0.301738   |    0      | True             |
| gpt-4.1-nano_few_shot                              | gpt-5.1_few_shot                                   | GPT-4.1-nano         | GPT-5.1              | 0.430796 | 0.684667 | -0.253843    | -0.302711   | -0.203295   |    0      | True             |
| llama-3.3-70b_few_shot                             | bilstm-crf__supervised                             | Llama-3.3-70B        | BiLSTM-CRF           | 0.339564 | 0.592593 | -0.252735    | -0.319188   | -0.185005   |    0      | True             |
| gpt-5-mini_few_shot                                | qwen2.5-72b_few_shot                               | GPT-5-mini           | Qwen2.5-72B          | 0.410835 | 0.615385 | -0.205097    | -0.249096   | -0.16068    |    0      | True             |
| gpt-5-mini_few_shot                                | gpt-5.2_few_shot                                   | GPT-5-mini           | GPT-5.2              | 0.410835 | 0.606742 | -0.19623     | -0.235434   | -0.157897   |    0      | True             |
| gpt-5-mini_few_shot                                | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5-mini           | Legal-BERTimbau-base | 0.410835 | 0.605144 | -0.193998    | -0.253044   | -0.134106   |    0      | True             |
| gpt-5-mini_few_shot                                | neuralmind_bert-large-portuguese-cased__supervised | GPT-5-mini           | BERTimbau-large      | 0.410835 | 0.604863 | -0.193627    | -0.256586   | -0.130136   |    0      | True             |
