model,display,iou_threshold,span_f1,span_f1_macro,span_precision,span_recall
gpt-4.1_few_shot,GPT-4.1,0.3,0.7583497053045186,0.7454915960872136,0.6905187835420393,0.840958605664488
gpt-4.1_few_shot,GPT-4.1,0.5,0.7151277013752456,0.6938984300054605,0.6511627906976745,0.7930283224400871
gpt-4.1_few_shot,GPT-4.1,0.7,0.6522593320235757,0.6265019455634091,0.59391771019678,0.7233115468409586
gpt-4.1_few_shot,GPT-4.1,exact,0.12180746561886052,0.14279046680245752,0.11091234347048301,0.13507625272331156
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.3,0.7362428842504743,0.7251804821605035,0.6521008403361345,0.8453159041394336
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.5,0.698292220113852,0.6779125307149776,0.6184873949579832,0.8017429193899782
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.7,0.635673624288425,0.6174409127607279,0.5630252100840336,0.7298474945533769
gpt-4.1-mini_few_shot,GPT-4.1-mini,exact,0.08538899430740038,0.10085463813633117,0.07563025210084033,0.09803921568627451
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.3,0.47619047619047616,0.44454473262222577,0.4107424960505529,0.5664488017429193
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.5,0.4010989010989011,0.3650911855034305,0.3459715639810427,0.477124183006536
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.7,0.33699633699633696,0.3051428464560564,0.29067930489731436,0.4008714596949891
gpt-4.1-nano_few_shot,GPT-4.1-nano,exact,0.05311355311355311,0.03945579257560671,0.045813586097946286,0.06318082788671024
gpt-5-mini_few_shot,GPT-5-mini,0.3,0.4288939051918736,0.554852338217296,0.2894135567402894,0.8278867102396514
gpt-5-mini_few_shot,GPT-5-mini,0.5,0.40970654627539504,0.5241862525134205,0.27646610814927647,0.7908496732026143
gpt-5-mini_few_shot,GPT-5-mini,0.7,0.3837471783295711,0.4839243504953737,0.25894897182025894,0.7407407407407407
gpt-5-mini_few_shot,GPT-5-mini,exact,0.07110609480812642,0.10375547850693098,0.04798172124904798,0.13725490196078433
gpt-5.1_few_shot,GPT-5.1,0.3,0.7213114754098361,0.7167284893047039,0.6470588235294118,0.8148148148148148
gpt-5.1_few_shot,GPT-5.1,0.5,0.6846673095467696,0.67451227903038,0.6141868512110726,0.7734204793028322
gpt-5.1_few_shot,GPT-5.1,0.7,0.6383799421407907,0.6165657935092677,0.5726643598615917,0.7211328976034859
gpt-5.1_few_shot,GPT-5.1,exact,0.18129218900675023,0.2234061145445712,0.16262975778546712,0.2047930283224401
gpt-5.2_few_shot,GPT-5.2,0.3,0.651685393258427,0.6408594123001604,0.5401146131805158,0.8213507625272332
gpt-5.2_few_shot,GPT-5.2,0.5,0.6067415730337079,0.5852152841061593,0.502865329512894,0.7647058823529411
gpt-5.2_few_shot,GPT-5.2,0.7,0.5531547104580814,0.5294515205312448,0.4584527220630373,0.6971677559912854
gpt-5.2_few_shot,GPT-5.2,exact,0.15038893690579086,0.1897260188346269,0.12464183381088825,0.1895424836601307
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.3,0.7549668874172185,0.7396742499337795,0.7651006711409396,0.7450980392156863
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.5,0.7240618101545254,0.700688419747625,0.7337807606263982,0.7145969498910676
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.7,0.6644591611479029,0.6438265802114139,0.6733780760626398,0.6557734204793029
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,exact,0.0728476821192053,0.09404773607936626,0.0738255033557047,0.0718954248366013
llama-3.3-70b_few_shot,Llama-3.3-70B,0.3,0.38006230529595014,0.2980246613299503,0.6666666666666666,0.2657952069716776
llama-3.3-70b_few_shot,Llama-3.3-70B,0.5,0.3395638629283489,0.2734420698696083,0.5956284153005464,0.2374727668845316
llama-3.3-70b_few_shot,Llama-3.3-70B,0.7,0.29906542056074764,0.2410066179409297,0.5245901639344263,0.20915032679738563
