model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
deepseek-v4-flash_few_shot,llama-3.3-70b_few_shot,DeepSeek-V4-Flash,Llama-3.3-70B,0.7240618101545254,0.3395638629283489,0.3847279032463252,0.3171297356604348,0.45242800781655346,0.0,True
gpt-4.1-mini_few_shot,gpt-4.1-nano_few_shot,GPT-4.1-mini,GPT-4.1-nano,0.6976303317535545,0.4007319304666057,0.29694119255331597,0.25078760265175043,0.3431020247217335,0.0,True
llama-3.3-70b_few_shot,qwen2.5-72b_few_shot,Llama-3.3-70B,Qwen2.5-72B,0.3395638629283489,0.6153846153846153,-0.27592336137562906,-0.34291719923629493,-0.20738997086523797,0.0,True
gpt-5.2_few_shot,llama-3.3-70b_few_shot,GPT-5.2,Llama-3.3-70B,0.6067415730337079,0.3395638629283489,0.2670564539861521,0.19694630029961618,0.3360735188944568,0.0,True
gpt-5.2_few_shot,deepseek-v4-flash_few_shot,GPT-5.2,DeepSeek-V4-Flash,0.6067415730337079,0.7240618101545254,-0.11767144926017323,-0.16807468321429725,-0.06563700972273366,0.0004,True
gpt-4.1_few_shot,gpt-5.2_few_shot,GPT-4.1,GPT-5.2,0.7151277013752456,0.6067415730337079,0.10851665092739529,0.07669804380319535,0.14205357158880458,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.6895604395604397,0.5925925925925926,0.09674472162365633,0.04213514440436824,0.15363008829755434,0.0004,True
gpt-5.2_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.2,BERTimbau-base,0.6067415730337079,0.6895604395604397,-0.08242308180083982,-0.12840182359491886,-0.035403063527563436,0.0004,True
gpt-5.1_few_shot,gpt-5.2_few_shot,GPT-5.1,GPT-5.2,0.6846673095467696,0.6067415730337079,0.07791676964944509,0.04598574766172582,0.11040704435951,0.0,True
deepseek-v4-flash_few_shot,neuralmind_bert-base-portuguese-cased__supervised,DeepSeek-V4-Flash,BERTimbau-base,0.7240618101545254,0.6895604395604397,0.035248367459333414,-0.02273558123828286,0.09110920622970999,0.2328,False
gpt-4.1_few_shot,gpt-4.1-mini_few_shot,GPT-4.1,GPT-4.1-mini,0.7151277013752456,0.6976303317535545,0.017540995640249912,-0.005838367763145996,0.041057198751992006,0.1474,False
gpt-5.2_few_shot,qwen2.5-72b_few_shot,GPT-5.2,Qwen2.5-72B,0.6067415730337079,0.6153846153846153,-0.00886690738947706,-0.04930425518798262,0.031326215041494083,0.6656,False
