| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |   ci_upper |   p_value | significant_95   |
|:---------------------------------------------------|:---------------------------------------------------|:---------------------|:---------------------|---------:|---------:|-------------:|------------:|-----------:|----------:|:-----------------|
| deepseek-v4-flash_few_shot                         | llama-3.3-70b_few_shot                             | DeepSeek-V4-Flash    | Llama-3.3-70B        | 0.724062 | 0.339564 |  0.384728    |  0.31713    |  0.452428  |    0      | True             |
| gpt-4.1_few_shot                                   | llama-3.3-70b_few_shot                             | GPT-4.1              | Llama-3.3-70B        | 0.715128 | 0.339564 |  0.375573    |  0.309683   |  0.44085   |    0      | True             |
| gpt-4.1-mini_few_shot                              | llama-3.3-70b_few_shot                             | GPT-4.1-mini         | Llama-3.3-70B        | 0.69763  | 0.339564 |  0.358032    |  0.291061   |  0.423944  |    0      | True             |
| llama-3.3-70b_few_shot                             | neuralmind_bert-base-portuguese-cased__supervised  | Llama-3.3-70B        | BERTimbau-base       | 0.339564 | 0.68956  | -0.34948     | -0.415443   | -0.282835  |    0      | True             |
| gpt-5.1_few_shot                                   | llama-3.3-70b_few_shot                             | GPT-5.1              | Llama-3.3-70B        | 0.684667 | 0.339564 |  0.344973    |  0.277166   |  0.410095  |    0      | True             |
| gpt-4.1-nano_few_shot                              | deepseek-v4-flash_few_shot                         | GPT-4.1-nano         | DeepSeek-V4-Flash    | 0.400732 | 0.724062 | -0.323637    | -0.374563   | -0.273298  |    0      | True             |
| gpt-4.1_few_shot                                   | gpt-4.1-nano_few_shot                              | GPT-4.1              | GPT-4.1-nano         | 0.715128 | 0.400732 |  0.314482    |  0.266019   |  0.363283  |    0      | True             |
| gpt-5-mini_few_shot                                | deepseek-v4-flash_few_shot                         | GPT-5-mini           | DeepSeek-V4-Flash    | 0.410835 | 0.724062 | -0.313902    | -0.365665   | -0.263783  |    0      | True             |
| gpt-4.1_few_shot                                   | gpt-5-mini_few_shot                                | GPT-4.1              | GPT-5-mini           | 0.715128 | 0.410835 |  0.304747    |  0.262125   |  0.34763   |    0      | True             |
| gpt-4.1-mini_few_shot                              | gpt-4.1-nano_few_shot                              | GPT-4.1-mini         | GPT-4.1-nano         | 0.69763  | 0.400732 |  0.296941    |  0.250788   |  0.343102  |    0      | True             |
| gpt-4.1-nano_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-nano         | BERTimbau-base       | 0.400732 | 0.68956  | -0.288389    | -0.337762   | -0.238961  |    0      | True             |
| gpt-4.1-mini_few_shot                              | gpt-5-mini_few_shot                                | GPT-4.1-mini         | GPT-5-mini           | 0.69763  | 0.410835 |  0.287206    |  0.247896   |  0.327369  |    0      | True             |
| gpt-4.1-nano_few_shot                              | gpt-5.1_few_shot                                   | GPT-4.1-nano         | GPT-5.1              | 0.400732 | 0.684667 | -0.283882    | -0.333723   | -0.232965  |    0      | True             |
| gpt-5-mini_few_shot                                | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5-mini           | BERTimbau-base       | 0.410835 | 0.68956  | -0.278653    | -0.332902   | -0.224764  |    0      | True             |
| llama-3.3-70b_few_shot                             | qwen2.5-72b_few_shot                               | Llama-3.3-70B        | Qwen2.5-72B          | 0.339564 | 0.615385 | -0.275923    | -0.342917   | -0.20739   |    0      | True             |
| gpt-5-mini_few_shot                                | gpt-5.1_few_shot                                   | GPT-5-mini           | GPT-5.1              | 0.410835 | 0.684667 | -0.274147    | -0.31701    | -0.232514  |    0      | True             |
| gpt-5.2_few_shot                                   | llama-3.3-70b_few_shot                             | GPT-5.2              | Llama-3.3-70B        | 0.606742 | 0.339564 |  0.267056    |  0.196946   |  0.336074  |    0      | True             |
| llama-3.3-70b_few_shot                             | rufimelo_Legal-BERTimbau-base__supervised          | Llama-3.3-70B        | Legal-BERTimbau-base | 0.339564 | 0.605144 | -0.264824    | -0.331059   | -0.19745   |    0      | True             |
| llama-3.3-70b_few_shot                             | neuralmind_bert-large-portuguese-cased__supervised | Llama-3.3-70B        | BERTimbau-large      | 0.339564 | 0.604863 | -0.264453    | -0.331971   | -0.194563  |    0      | True             |
| llama-3.3-70b_few_shot                             | bilstm-crf__supervised                             | Llama-3.3-70B        | BiLSTM-CRF           | 0.339564 | 0.592593 | -0.252735    | -0.319188   | -0.185005  |    0      | True             |
| gpt-4.1-nano_few_shot                              | qwen2.5-72b_few_shot                               | GPT-4.1-nano         | Qwen2.5-72B          | 0.400732 | 0.615385 | -0.214832    | -0.257332   | -0.172495  |    0      | True             |
| gpt-4.1-nano_few_shot                              | gpt-5.2_few_shot                                   | GPT-4.1-nano         | GPT-5.2              | 0.400732 | 0.606742 | -0.205966    | -0.253893   | -0.158722  |    0      | True             |
| gpt-5-mini_few_shot                                | qwen2.5-72b_few_shot                               | GPT-5-mini           | Qwen2.5-72B          | 0.410835 | 0.615385 | -0.205097    | -0.249096   | -0.16068   |    0      | True             |
| gpt-4.1-nano_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4.1-nano         | Legal-BERTimbau-base | 0.400732 | 0.605144 | -0.203733    | -0.257289   | -0.150224  |    0      | True             |
| gpt-4.1-nano_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1-nano         | BERTimbau-large      | 0.400732 | 0.604863 | -0.203362    | -0.262378   | -0.144426  |    0      | True             |
| gpt-5-mini_few_shot                                | gpt-5.2_few_shot                                   | GPT-5-mini           | GPT-5.2              | 0.410835 | 0.606742 | -0.19623     | -0.235434   | -0.157897  |    0      | True             |
| gpt-5-mini_few_shot                                | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5-mini           | Legal-BERTimbau-base | 0.410835 | 0.605144 | -0.193998    | -0.253044   | -0.134106  |    0      | True             |
| gpt-5-mini_few_shot                                | neuralmind_bert-large-portuguese-cased__supervised | GPT-5-mini           | BERTimbau-large      | 0.410835 | 0.604863 | -0.193627    | -0.256586   | -0.130136  |    0      | True             |
| gpt-4.1-nano_few_shot                              | bilstm-crf__supervised                             | GPT-4.1-nano         | BiLSTM-CRF           | 0.400732 | 0.592593 | -0.191644    | -0.258352   | -0.124235  |    0      | True             |
| gpt-5-mini_few_shot                                | bilstm-crf__supervised                             | GPT-5-mini           | BiLSTM-CRF           | 0.410835 | 0.592593 | -0.181909    | -0.252234   | -0.113163  |    0      | True             |
| deepseek-v4-flash_few_shot                         | bilstm-crf__supervised                             | DeepSeek-V4-Flash    | BiLSTM-CRF           | 0.724062 | 0.592593 |  0.131993    |  0.0595151  |  0.204057  |    0.0012 | True             |
| gpt-4.1_few_shot                                   | bilstm-crf__supervised                             | GPT-4.1              | BiLSTM-CRF           | 0.715128 | 0.592593 |  0.122838    |  0.0601392  |  0.186049  |    0      | True             |
| deepseek-v4-flash_few_shot                         | neuralmind_bert-large-portuguese-cased__supervised | DeepSeek-V4-Flash    | BERTimbau-large      | 0.724062 | 0.604863 |  0.120275    |  0.0550449  |  0.186528  |    0.0004 | True             |
| deepseek-v4-flash_few_shot                         | rufimelo_Legal-BERTimbau-base__supervised          | DeepSeek-V4-Flash    | Legal-BERTimbau-base | 0.724062 | 0.605144 |  0.119904    |  0.0589511  |  0.182507  |    0.0002 | True             |
| gpt-5.2_few_shot                                   | deepseek-v4-flash_few_shot                         | GPT-5.2              | DeepSeek-V4-Flash    | 0.606742 | 0.724062 | -0.117671    | -0.168075   | -0.065637  |    0.0004 | True             |
| gpt-4.1_few_shot                                   | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1              | BERTimbau-large      | 0.715128 | 0.604863 |  0.11112     |  0.0559554  |  0.169503  |    0      | True             |
| gpt-4.1_few_shot                                   | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4.1              | Legal-BERTimbau-base | 0.715128 | 0.605144 |  0.110749    |  0.0555407  |  0.167715  |    0.0004 | True             |
| deepseek-v4-flash_few_shot                         | qwen2.5-72b_few_shot                               | DeepSeek-V4-Flash    | Qwen2.5-72B          | 0.724062 | 0.615385 |  0.108805    |  0.0605732  |  0.156475  |    0      | True             |
| gpt-4.1_few_shot                                   | gpt-5.2_few_shot                                   | GPT-4.1              | GPT-5.2              | 0.715128 | 0.606742 |  0.108517    |  0.076698   |  0.142054  |    0      | True             |
| gpt-4.1-mini_few_shot                              | bilstm-crf__supervised                             | GPT-4.1-mini         | BiLSTM-CRF           | 0.69763  | 0.592593 |  0.105297    |  0.0440029  |  0.166201  |    0.0004 | True             |
| gpt-4.1_few_shot                                   | qwen2.5-72b_few_shot                               | GPT-4.1              | Qwen2.5-72B          | 0.715128 | 0.615385 |  0.0996497   |  0.0564095  |  0.141501  |    0.0002 | True             |
