model,method,label,f1,precision,recall
gpt-3.5,function_calling,MULTA,0.7865168539325843,0.7510729613733905,0.8254716981132075
gpt-3.5,function_calling,OBRIGACAO,0.6330935251798561,0.5986394557823129,0.6717557251908397
gpt-3.5,function_calling,RECOMENDACAO,0.642857142857143,0.5172413793103449,0.8490566037735849
gpt-3.5,function_calling,RESSARCIMENTO,0.6619718309859155,0.5949367088607594,0.746031746031746
gpt-3.5,json_schema,MULTA,0.7575057736720555,0.7420814479638009,0.7735849056603774
gpt-3.5,json_schema,OBRIGACAO,0.5776173285198556,0.547945205479452,0.6106870229007634
gpt-3.5,json_schema,RECOMENDACAO,0.4964539007092199,0.3977272727272727,0.660377358490566
gpt-3.5,json_schema,RESSARCIMENTO,0.6131386861313869,0.5675675675675675,0.6666666666666666
gpt-4o,function_calling,MULTA,0.8081264108352145,0.7748917748917749,0.8443396226415094
gpt-4o,function_calling,OBRIGACAO,0.6312056737588653,0.5894039735099338,0.6793893129770993
gpt-4o,function_calling,RECOMENDACAO,0.6714285714285714,0.5402298850574713,0.8867924528301887
gpt-4o,function_calling,RESSARCIMENTO,0.6950354609929079,0.6282051282051282,0.7777777777777778
gpt-4o,json_schema,MULTA,0.7757009345794392,0.7685185185185185,0.7830188679245284
gpt-4o,json_schema,OBRIGACAO,0.5891472868217055,0.5984251968503937,0.5801526717557252
gpt-4o,json_schema,RECOMENDACAO,0.5714285714285714,0.45977011494252873,0.7547169811320755
gpt-4o,json_schema,RESSARCIMENTO,0.49275362318840576,0.4533333333333333,0.5396825396825397
gpt-5.4-mini,function_calling,MULTA,0.8074245939675174,0.7945205479452054,0.8207547169811321
gpt-5.4-mini,function_calling,OBRIGACAO,0.6618181818181817,0.6319444444444444,0.6946564885496184
gpt-5.4-mini,function_calling,RECOMENDACAO,0.6714285714285714,0.5402298850574713,0.8867924528301887
gpt-5.4-mini,function_calling,RESSARCIMENTO,0.6618705035971223,0.6052631578947368,0.7301587301587301
gpt-5.4-mini,json_schema,MULTA,0.6470588235294118,0.7469135802469136,0.5707547169811321
gpt-5.4-mini,json_schema,OBRIGACAO,0.3626943005181347,0.5645161290322581,0.26717557251908397
gpt-5.4-mini,json_schema,RECOMENDACAO,0.38,0.40425531914893614,0.3584905660377358
gpt-5.4-mini,json_schema,RESSARCIMENTO,0.5909090909090909,0.5652173913043478,0.6190476190476191
gpt-5.4-nano,function_calling,MULTA,0.7837837837837837,0.75,0.8207547169811321
gpt-5.4-nano,function_calling,OBRIGACAO,0.6813186813186813,0.6549295774647887,0.7099236641221374
gpt-5.4-nano,function_calling,RECOMENDACAO,0.642857142857143,0.5172413793103449,0.8490566037735849
gpt-5.4-nano,function_calling,RESSARCIMENTO,0.6906474820143885,0.631578947368421,0.7619047619047619
gpt-5.4-nano,json_schema,MULTA,0.7755102040816327,0.7467248908296943,0.8066037735849056
gpt-5.4-nano,json_schema,OBRIGACAO,0.616600790513834,0.639344262295082,0.5954198473282443
gpt-5.4-nano,json_schema,RECOMENDACAO,0.5179856115107914,0.4186046511627907,0.6792452830188679
gpt-5.4-nano,json_schema,RESSARCIMENTO,0.6417910447761194,0.6056338028169014,0.6825396825396826
