| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |   ci_upper |   p_value | significant_95   |
|:---------------------------------------------------|:---------------------------------------------------|:---------------------|:---------------------|---------:|---------:|-------------:|------------:|-----------:|----------:|:-----------------|
| gpt-4-turbo                                        | gpt-41-nano                                        | GPT-4 Turbo          | GPT-4.1-nano         | 0.734127 | 0.41723  |  0.317308    |  0.27496    |  0.360804  |    0      | True             |
| gpt-5.4-mini_few_shot                              | gpt-41-nano                                        | GPT-5.4-mini         | GPT-4.1-nano         | 0.730964 | 0.41723  |  0.314407    |  0.269778   |  0.360695  |    0      | True             |
| gpt-5.4-nano_few_shot                              | gpt-41-nano                                        | GPT-5.4-nano         | GPT-4.1-nano         | 0.728916 | 0.41723  |  0.312164    |  0.270265   |  0.356155  |    0      | True             |
| gpt-4o                                             | gpt-41-nano                                        | GPT-4o               | GPT-4.1-nano         | 0.723658 | 0.41723  |  0.306931    |  0.267945   |  0.347656  |    0      | True             |
| gpt-41-mini                                        | gpt-41-nano                                        | GPT-4.1-mini         | GPT-4.1-nano         | 0.71076  | 0.41723  |  0.293868    |  0.252252   |  0.337872  |    0      | True             |
| gpt-35                                             | gpt-41-nano                                        | GPT-3.5              | GPT-4.1-nano         | 0.710448 | 0.41723  |  0.293556    |  0.251674   |  0.336747  |    0      | True             |
| gpt-41                                             | gpt-41-nano                                        | GPT-4.1              | GPT-4.1-nano         | 0.705202 | 0.41723  |  0.288215    |  0.245966   |  0.331638  |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41-nano                                        | BERTimbau-base       | GPT-4.1-nano         | 0.68956  | 0.41723  |  0.272115    |  0.225003   |  0.318616  |    0      | True             |
| gemini-2.5-flash_few_shot                          | gpt-41-nano                                        | Gemini-2.5-flash     | GPT-4.1-nano         | 0.686712 | 0.41723  |  0.269717    |  0.22498    |  0.314468  |    0      | True             |
| deepseek-v3_few_shot                               | gpt-41-nano                                        | DeepSeek-V3          | GPT-4.1-nano         | 0.645892 | 0.41723  |  0.228831    |  0.185795   |  0.273376  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-nano                                        | Legal-BERTimbau-base | GPT-4.1-nano         | 0.605144 | 0.41723  |  0.18746     |  0.134426   |  0.239184  |    0      | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gpt-41-nano                                        | BERTimbau-large      | GPT-4.1-nano         | 0.604863 | 0.41723  |  0.187089    |  0.129724   |  0.241952  |    0      | True             |
| bilstm-crf__supervised                             | gpt-41-nano                                        | BiLSTM-CRF           | GPT-4.1-nano         | 0.592593 | 0.41723  |  0.17537     |  0.112172   |  0.238605  |    0      | True             |
| gpt-4-turbo                                        | bilstm-crf__supervised                             | GPT-4 Turbo          | BiLSTM-CRF           | 0.734127 | 0.592593 |  0.141938    |  0.0801095  |  0.20322   |    0      | True             |
| gpt-5.4-mini_few_shot                              | bilstm-crf__supervised                             | GPT-5.4-mini         | BiLSTM-CRF           | 0.730964 | 0.592593 |  0.139036    |  0.0731231  |  0.20435   |    0      | True             |
| gpt-5.4-nano_few_shot                              | bilstm-crf__supervised                             | GPT-5.4-nano         | BiLSTM-CRF           | 0.728916 | 0.592593 |  0.136794    |  0.0734159  |  0.199105  |    0      | True             |
| gpt-4o                                             | bilstm-crf__supervised                             | GPT-4o               | BiLSTM-CRF           | 0.723658 | 0.592593 |  0.131561    |  0.0689046  |  0.193256  |    0      | True             |
| gpt-4-turbo                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4 Turbo          | BERTimbau-large      | 0.734127 | 0.604863 |  0.13022     |  0.0745844  |  0.188768  |    0      | True             |
| gpt-4-turbo                                        | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4 Turbo          | Legal-BERTimbau-base | 0.734127 | 0.605144 |  0.129849    |  0.0776687  |  0.184138  |    0      | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-mini         | BERTimbau-large      | 0.730964 | 0.604863 |  0.127318    |  0.066914   |  0.189593  |    0      | True             |
| gpt-5.4-mini_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-mini         | Legal-BERTimbau-base | 0.730964 | 0.605144 |  0.126947    |  0.0737167  |  0.180992  |    0      | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.4-nano         | BERTimbau-large      | 0.728916 | 0.604863 |  0.125075    |  0.0719359  |  0.181368  |    0      | True             |
| gpt-5.4-nano_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.4-nano         | Legal-BERTimbau-base | 0.728916 | 0.605144 |  0.124704    |  0.0756744  |  0.176039  |    0      | True             |
| gpt-4o                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4o               | BERTimbau-large      | 0.723658 | 0.604863 |  0.119843    |  0.0656171  |  0.176461  |    0      | True             |
| gpt-4o                                             | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4o               | Legal-BERTimbau-base | 0.723658 | 0.605144 |  0.119472    |  0.0676141  |  0.174499  |    0      | True             |
| gpt-41-mini                                        | bilstm-crf__supervised                             | GPT-4.1-mini         | BiLSTM-CRF           | 0.71076  | 0.592593 |  0.118497    |  0.0592402  |  0.178135  |    0      | True             |
| gpt-35                                             | bilstm-crf__supervised                             | GPT-3.5              | BiLSTM-CRF           | 0.710448 | 0.592593 |  0.118186    |  0.0540869  |  0.181111  |    0      | True             |
| gpt-41                                             | bilstm-crf__supervised                             | GPT-4.1              | BiLSTM-CRF           | 0.705202 | 0.592593 |  0.112844    |  0.0491906  |  0.175436  |    0.0004 | True             |
| gpt-41-mini                                        | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1-mini         | BERTimbau-large      | 0.71076  | 0.604863 |  0.106779    |  0.0557655  |  0.161476  |    0      | True             |
| gpt-35                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-3.5              | BERTimbau-large      | 0.710448 | 0.604863 |  0.106468    |  0.0513382  |  0.163584  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41-mini                                        | Legal-BERTimbau-base | GPT-4.1-mini         | 0.605144 | 0.71076  | -0.106408    | -0.158235   | -0.0566674 |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-35                                             | Legal-BERTimbau-base | GPT-3.5              | 0.605144 | 0.710448 | -0.106097    | -0.159721   | -0.0541145 |    0      | True             |
| gpt-41                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1              | BERTimbau-large      | 0.705202 | 0.604863 |  0.101126    |  0.0445115  |  0.160358  |    0.0004 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41                                             | Legal-BERTimbau-base | GPT-4.1              | 0.605144 | 0.705202 | -0.100755    | -0.155907   | -0.0480155 |    0.0002 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | bilstm-crf__supervised                             | BERTimbau-base       | BiLSTM-CRF           | 0.68956  | 0.592593 |  0.0967447   |  0.0421351  |  0.15363   |    0.0004 | True             |
| gemini-2.5-flash_few_shot                          | bilstm-crf__supervised                             | Gemini-2.5-flash     | BiLSTM-CRF           | 0.686712 | 0.592593 |  0.0943469   |  0.0307421  |  0.15797   |    0.0032 | True             |
| gpt-4-turbo                                        | deepseek-v3_few_shot                               | GPT-4 Turbo          | DeepSeek-V3          | 0.734127 | 0.645892 |  0.0884772   |  0.0533155  |  0.123953  |    0      | True             |
| gpt-5.4-mini_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-mini         | DeepSeek-V3          | 0.730964 | 0.645892 |  0.0855756   |  0.041565   |  0.128907  |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | neuralmind_bert-large-portuguese-cased__supervised | BERTimbau-base       | BERTimbau-large      | 0.68956  | 0.604863 |  0.0850266   |  0.0437888  |  0.129793  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-base-portuguese-cased__supervised  | Legal-BERTimbau-base | BERTimbau-base       | 0.605144 | 0.68956  | -0.0846556   | -0.126225   | -0.0449749 |    0      | True             |
| gpt-5.4-nano_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-nano         | DeepSeek-V3          | 0.728916 | 0.645892 |  0.083333    |  0.044969   |  0.12162   |    0      | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gemini-2.5-flash_few_shot                          | BERTimbau-large      | Gemini-2.5-flash     | 0.604863 | 0.686712 | -0.0826287   | -0.143118   | -0.0264357 |    0.0038 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gemini-2.5-flash_few_shot                          | Legal-BERTimbau-base | Gemini-2.5-flash     | 0.605144 | 0.686712 | -0.0822577   | -0.137627   | -0.030321  |    0.0022 | True             |
| gpt-4o                                             | deepseek-v3_few_shot                               | GPT-4o               | DeepSeek-V3          | 0.723658 | 0.645892 |  0.0781002   |  0.0421194  |  0.114631  |    0      | True             |
| gpt-41-mini                                        | deepseek-v3_few_shot                               | GPT-4.1-mini         | DeepSeek-V3          | 0.71076  | 0.645892 |  0.0650366   |  0.0320814  |  0.0975586 |    0.0006 | True             |
| gpt-35                                             | deepseek-v3_few_shot                               | GPT-3.5              | DeepSeek-V3          | 0.710448 | 0.645892 |  0.0647253   |  0.024392   |  0.104994  |    0.0026 | True             |
| gpt-41                                             | deepseek-v3_few_shot                               | GPT-4.1              | DeepSeek-V3          | 0.705202 | 0.645892 |  0.0593839   |  0.0231258  |  0.0955298 |    0.0014 | True             |
| deepseek-v3_few_shot                               | bilstm-crf__supervised                             | DeepSeek-V3          | BiLSTM-CRF           | 0.645892 | 0.592593 |  0.0534605   | -0.0082544  |  0.114307  |    0.0876 | False            |
| gpt-4-turbo                                        | gemini-2.5-flash_few_shot                          | GPT-4 Turbo          | Gemini-2.5-flash     | 0.734127 | 0.686712 |  0.0475908   |  0.0179062  |  0.0767647 |    0.0028 | True             |
