model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-4-turbo,gpt-41-nano,GPT-4 Turbo,GPT-4.1-nano,0.7737373737373736,0.44939965694682676,0.3245690245289571,0.28061652298423667,0.36938001207153826,0.0,True
gpt-5.4-mini_few_shot,gpt-41-nano,GPT-5.4-mini,GPT-4.1-nano,0.7689119170984456,0.44939965694682676,0.31992848319249323,0.2740815090611757,0.366499741379422,0.0,True
gpt-5.4-nano_few_shot,gpt-41-nano,GPT-5.4-nano,GPT-4.1-nano,0.7622950819672133,0.44939965694682676,0.31314236529342104,0.2695829362801437,0.3576551572962194,0.0,True
gpt-4o,gpt-41-nano,GPT-4o,GPT-4.1-nano,0.7611336032388664,0.44939965694682676,0.31201194445679314,0.2713332034211193,0.35358382957052376,0.0,True
gpt-41-mini,gpt-41-nano,GPT-4.1-mini,GPT-4.1-nano,0.7437185929648242,0.44939965694682676,0.29441632064407486,0.24928290422370658,0.34031817181989715,0.0,True
gpt-35,gpt-41-nano,GPT-3.5,GPT-4.1-nano,0.7375886524822695,0.44939965694682676,0.2882689262439667,0.24373963112817862,0.33287842716306654,0.0,True
gpt-41,gpt-41-nano,GPT-4.1,GPT-4.1-nano,0.7333333333333333,0.44939965694682676,0.28396557806854805,0.24097489660158086,0.3289943424874398,0.0,True
bilstm-crf__supervised,gpt-41-nano,BiLSTM-CRF,GPT-4.1-nano,0.7257281553398058,0.44939965694682676,0.27642034693364265,0.22273089421001252,0.33084901985016335,0.0,True
gemini-2.5-flash_few_shot,gpt-41-nano,Gemini-2.5-flash,GPT-4.1-nano,0.7141444114737882,0.44939965694682676,0.26483592490093627,0.2200672401514941,0.31001012820140234,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,gpt-41-nano,BERTimbau-base,GPT-4.1-nano,0.7079889807162535,0.44939965694682676,0.2585469448132566,0.21037671889902584,0.3078339381828202,0.0,True
deepseek-v3_few_shot,gpt-41-nano,DeepSeek-V3,GPT-4.1-nano,0.6756496631376323,0.44939965694682676,0.2262948115103357,0.18107724639197886,0.27189034018333375,0.0,True
neuralmind_bert-large-portuguese-cased__supervised,gpt-41-nano,BERTimbau-large,GPT-4.1-nano,0.6541786743515852,0.44939965694682676,0.20474957789989176,0.14758131253457699,0.2600535833009601,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-nano,Legal-BERTimbau-base,GPT-4.1-nano,0.6388059701492537,0.44939965694682676,0.18933633010792947,0.1342331063297809,0.2451720488732432,0.0,True
gpt-4-turbo,rufimelo_Legal-BERTimbau-base__supervised,GPT-4 Turbo,Legal-BERTimbau-base,0.7737373737373736,0.6388059701492537,0.1352326944210276,0.08307105522235646,0.18838792033573107,0.0,True
gpt-5.4-mini_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-mini,Legal-BERTimbau-base,0.7689119170984456,0.6388059701492537,0.1305921530845638,0.07486809163087241,0.18563657829192276,0.0,True
gpt-5.4-nano_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-nano,Legal-BERTimbau-base,0.7622950819672133,0.6388059701492537,0.1238060351854916,0.07313851221835618,0.17516534497954867,0.0,True
gpt-4o,rufimelo_Legal-BERTimbau-base__supervised,GPT-4o,Legal-BERTimbau-base,0.7611336032388664,0.6388059701492537,0.1226756143488637,0.0711773776227654,0.17462853760566835,0.0,True
gpt-4-turbo,neuralmind_bert-large-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-large,0.7737373737373736,0.6541786743515852,0.11981944662906531,0.06995290717556707,0.16975850901343054,0.0,True
gpt-5.4-mini_few_shot,neuralmind_bert-large-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-large,0.7689119170984456,0.6541786743515852,0.11517890529260146,0.06365705991431422,0.1665268818816568,0.0,True
gpt-5.4-nano_few_shot,neuralmind_bert-large-portuguese-cased__supervised,GPT-5.4-nano,BERTimbau-large,0.7622950819672133,0.6541786743515852,0.10839278739352926,0.06037684557297808,0.15800645585335424,0.0,True
gpt-4o,neuralmind_bert-large-portuguese-cased__supervised,GPT-4o,BERTimbau-large,0.7611336032388664,0.6541786743515852,0.10726236655690136,0.059206157714709474,0.15738226881930645,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-mini,Legal-BERTimbau-base,GPT-4.1-mini,0.6388059701492537,0.7437185929648242,-0.10507999053614539,-0.1594581367097982,-0.052629432728449665,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-35,Legal-BERTimbau-base,GPT-3.5,0.6388059701492537,0.7375886524822695,-0.09893259613603722,-0.15101624657379636,-0.0467298521652942,0.0,True
gpt-4-turbo,deepseek-v3_few_shot,GPT-4 Turbo,DeepSeek-V3,0.7737373737373736,0.6756496631376323,0.09827421301862141,0.06157537814381377,0.13559945608464208,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41,Legal-BERTimbau-base,GPT-4.1,0.6388059701492537,0.7333333333333333,-0.09462924796061861,-0.14605846719272517,-0.04285543505293931,0.0,True
gpt-5.4-mini_few_shot,deepseek-v3_few_shot,GPT-5.4-mini,DeepSeek-V3,0.7689119170984456,0.6756496631376323,0.09363367168215758,0.04704503465842662,0.13877304630872303,0.0,True
gpt-41-mini,neuralmind_bert-large-portuguese-cased__supervised,GPT-4.1-mini,BERTimbau-large,0.7437185929648242,0.6541786743515852,0.08966674274418306,0.038843050428184714,0.14133379066292018,0.0004,True
rufimelo_Legal-BERTimbau-base__supervised,bilstm-crf__supervised,Legal-BERTimbau-base,BiLSTM-CRF,0.6388059701492537,0.7257281553398058,-0.08708401682571323,-0.13780681798761918,-0.037295118669634815,0.0004,True
gpt-5.4-nano_few_shot,deepseek-v3_few_shot,GPT-5.4-nano,DeepSeek-V3,0.7622950819672133,0.6756496631376323,0.08684755378308538,0.046761187047812375,0.1274084232949995,0.0,True
gpt-4o,deepseek-v3_few_shot,GPT-4o,DeepSeek-V3,0.7611336032388664,0.6756496631376323,0.08571713294645748,0.04756388496928938,0.12399293668521492,0.0,True
gpt-35,neuralmind_bert-large-portuguese-cased__supervised,GPT-3.5,BERTimbau-large,0.7375886524822695,0.6541786743515852,0.08351934834407489,0.034367700558401784,0.13276446202595382,0.0006,True
gpt-41,neuralmind_bert-large-portuguese-cased__supervised,GPT-4.1,BERTimbau-large,0.7333333333333333,0.6541786743515852,0.07921600016865629,0.02747725805079952,0.13116326260046798,0.0026,True
rufimelo_Legal-BERTimbau-base__supervised,gemini-2.5-flash_few_shot,Legal-BERTimbau-base,Gemini-2.5-flash,0.6388059701492537,0.7141444114737882,-0.07549959479300684,-0.1304488590505539,-0.021710491241188914,0.0068,True
neuralmind_bert-large-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-large,BiLSTM-CRF,0.6541786743515852,0.7257281553398058,-0.0716707690337509,-0.12305459123902213,-0.021179805237120052,0.006,True
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-base-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-base,0.6388059701492537,0.7079889807162535,-0.06921061470532715,-0.10856973091609318,-0.030121514150432988,0.0002,True
gpt-41-mini,deepseek-v3_few_shot,GPT-4.1-mini,DeepSeek-V3,0.7437185929648242,0.6756496631376323,0.06812150913373917,0.03181324525585735,0.10515975535273019,0.0002,True
gpt-4-turbo,neuralmind_bert-base-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-base,0.7737373737373736,0.7079889807162535,0.06602207971570047,0.019010032909855763,0.11280795937491135,0.0056,True
gpt-35,deepseek-v3_few_shot,GPT-3.5,DeepSeek-V3,0.7375886524822695,0.6756496631376323,0.06197411473363102,0.018218468457372537,0.10455264194511173,0.0062,True
gpt-5.4-mini_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-base,0.7689119170984456,0.7079889807162535,0.06138153837923664,0.013829842654430434,0.1091069171545718,0.0108,True
neuralmind_bert-large-portuguese-cased__supervised,gemini-2.5-flash_few_shot,BERTimbau-large,Gemini-2.5-flash,0.6541786743515852,0.7141444114737882,-0.06008634700104451,-0.11379370619069483,-0.00904446379343895,0.021,True
gpt-4-turbo,gemini-2.5-flash_few_shot,GPT-4 Turbo,Gemini-2.5-flash,0.7737373737373736,0.7141444114737882,0.05973309962802077,0.028239867030467204,0.09145093315386948,0.0002,True
